1782972645
2026/07/02 06:10:45.257, 1, 24564, 0, 0, 30.36
1782972655
2026/07/02 06:10:55.293, 4, 24564, 0, 0, 30.28
1782972665
2026/07/02 06:11:05.331, 4, 24564, 0, 0, 30.52
1782972675
2026/07/02 06:11:15.369, 453, 24564, 6, 0, 111.12
1782972685
2026/07/02 06:11:25.400, 1649, 24564, 0, 0, 111.00
1782972695
2026/07/02 06:11:35.431, 7361, 24564, 0, 0, 123.26
1782972705
2026/07/02 06:11:45.461, 7361, 24564, 0, 0, 110.98
1782972715
2026/07/02 06:11:55.496, 7361, 24564, 0, 0, 31.82
1782972725
2026/07/02 06:12:05.537, 7863, 24564, 0, 0, 83.53
1782972735
2026/07/02 06:12:15.567, 11225, 24564, 0, 0, 111.46
1782972745
2026/07/02 06:12:25.598, 12655, 24564, 0, 0, 185.33
1782972755
2026/07/02 06:12:35.628, 17029, 24564, 44, 16, 245.45
1782972765
2026/07/02 06:12:45.658, 17132, 24564, 0, 0, 128.20
1782972775
2026/07/02 06:12:55.688, 17872, 24564, 100, 85, 339.01
1782972785
2026/07/02 06:13:05.725, 17872, 24564, 100, 89, 339.61
1782972795
2026/07/02 06:13:15.800, 17872, 24564, 100, 89, 340.43
1782972805
2026/07/02 06:13:25.838, 17872, 24564, 100, 93, 341.73
1782972815
2026/07/02 06:13:35.875, 17872, 24564, 100, 93, 342.32
1782972825
2026/07/02 06:13:45.911, 17872, 24564, 100, 89, 343.45
1782972835
2026/07/02 06:13:55.948, 17872, 24564, 100, 89, 344.16
1782972845
2026/07/02 06:14:05.984, 17872, 24564, 100, 90, 344.07
1782972856
2026/07/02 06:14:16.022, 18004, 24564, 100, 92, 343.65
1782972866
2026/07/02 06:14:26.058, 18004, 24564, 100, 92, 343.95
1782972876
2026/07/02 06:14:36.095, 18154, 24564, 100, 94, 344.18
1782972886
2026/07/02 06:14:46.133, 18154, 24564, 100, 93, 343.99
1782972896
2026/07/02 06:14:56.171, 18154, 24564, 100, 88, 333.88
1782972906
2026/07/02 06:15:06.209, 18154, 24564, 100, 94, 324.33
1782972916
2026/07/02 06:15:16.247, 18154, 24564, 100, 89, 324.39
1782972926
2026/07/02 06:15:26.285, 18154, 24564, 100, 93, 324.44
1782972936
2026/07/02 06:15:36.321, 18154, 24564, 100, 94, 324.89
1782972946
2026/07/02 06:15:46.359, 18154, 24564, 100, 88, 324.54
1782972956
2026/07/02 06:15:56.395, 18154, 24564, 100, 93, 324.30
1782972966
2026/07/02 06:16:06.572, 18342, 24564, 100, 92, 323.89
1782972976
2026/07/02 06:16:16.612, 18342, 24564, 100, 93, 324.17
1782972986
2026/07/02 06:16:26.655, 18558, 24564, 100, 90, 323.74
1782972996
2026/07/02 06:16:36.691, 18558, 24564, 100, 88, 324.23
1782973006
2026/07/02 06:16:46.726, 18558, 24564, 100, 88, 324.63
1782973016
2026/07/02 06:16:56.761, 18558, 24564, 100, 83, 323.98
1782973026
2026/07/02 06:17:06.795, 19248, 24564, 100, 92, 327.02
1782973036
2026/07/02 06:17:16.831, 19248, 24564, 100, 91, 324.45
1782973046
2026/07/02 06:17:26.869, 19248, 24564, 100, 94, 324.44
1782973056
2026/07/02 06:17:36.904, 19248, 24564, 100, 94, 324.52
1782973066
2026/07/02 06:17:46.942, 19622, 24564, 100, 91, 324.40
1782973076
2026/07/02 06:17:56.980, 19622, 24564, 100, 92, 324.53
1782973086
2026/07/02 06:18:07.015, 19622, 24564, 100, 91, 324.09
1782973097
2026/07/02 06:18:17.052, 19622, 24564, 100, 91, 324.46
1782973107
2026/07/02 06:18:27.090, 19622, 24564, 100, 94, 324.51
1782973117
